event_id,customer_id,event_date,event_type,device_type,session_duration,page_views,add_to_cart_flag,checkout_start_flag,purchase_flag
EVT-00000000001,CUST-0000001,2023-08-27,wishlist,mobile,6.98,9,0,0,0
EVT-00000000002,CUST-0000001,2025-02-04,add_to_cart,mobile,10.94,10,1,1,0
EVT-00000000003,CUST-0000001,2023-06-10,wishlist,mobile,0.44,11,0,0,0
EVT-00000000004,CUST-0000001,2024-07-31,checkout_start,desktop,4.08,2,1,1,0
EVT-00000000005,CUST-0000001,2023-08-25,product_view,mobile,2.34,3,0,0,0
EVT-00000000006,CUST-0000001,2023-08-10,page_view,mobile,3.78,8,1,0,0
EVT-00000000007,CUST-0000001,2023-01-08,add_to_cart,mobile,0.61,1,1,0,0
EVT-00000000008,CUST-0000001,2024-10-20,app_open,desktop,5.22,9,0,0,0
EVT-00000000009,CUST-0000001,2024-09-25,checkout_start,mobile,2.96,9,1,1,0
EVT-00000000010,CUST-0000001,2024-11-02,app_open,mobile,2.38,6,0,0,0
EVT-00000000011,CUST-0000001,2023-04-22,page_view,mobile,4.38,7,0,0,0
EVT-00000000012,CUST-0000001,2024-06-22,page_view,desktop,5.47,7,0,0,0
EVT-00000000013,CUST-0000001,2025-11-23,page_view,desktop,5.34,14,0,0,0
EVT-00000000014,CUST-0000001,2023-04-01,page_view,mobile,9.06,7,0,0,0
EVT-00000000015,CUST-0000001,2025-02-16,product_view,mobile,2.96,5,0,0,0
EVT-00000000016,CUST-0000001,2025-01-17,add_to_cart,mobile,6.67,4,1,0,0
EVT-00000000017,CUST-0000002,2024-03-23,app_open,mobile,7.54,11,0,0,0
EVT-00000000018,CUST-0000002,2024-01-30,product_view,mobile,0.77,5,1,0,0
EVT-00000000019,CUST-0000002,2024-06-22,purchase,mobile,11.87,14,1,1,1
EVT-00000000020,CUST-0000002,2024-07-12,product_view,mobile,2.44,10,0,0,0
EVT-00000000021,CUST-0000002,2025-12-01,app_open,desktop,9.73,6,0,0,0
EVT-00000000022,CUST-0000002,2025-01-28,add_to_cart,mobile,8.52,12,1,0,0
EVT-00000000023,CUST-0000002,2023-06-07,app_open,mobile,2.55,7,0,0,0
EVT-00000000024,CUST-0000002,2024-07-17,product_view,mobile,9.59,6,1,1,0
EVT-00000000025,CUST-0000002,2023-05-30,page_view,mobile,9.31,1,0,0,0
