order_item_id,order_id,product_id,quantity,unit_price,discount_value,line_amount
OITEM-000000001,ORD-000000001,PROD-0000047,2,72.28,11.33,133.23
OITEM-000000002,ORD-000000001,PROD-0000101,2,192.57,63.1,322.04
OITEM-000000003,ORD-000000002,PROD-0000006,2,269.68,71.29,468.07
OITEM-000000004,ORD-000000002,PROD-0000102,2,169.94,49.26,290.62
OITEM-000000005,ORD-000000002,PROD-0000117,2,155.88,9.71,302.05
OITEM-000000006,ORD-000000003,PROD-0000034,1,200.99,32.19,168.8
OITEM-000000007,ORD-000000003,PROD-0000083,1,239.86,34.47,205.39
OITEM-000000008,ORD-000000003,PROD-0000073,2,181.09,4.67,357.51
OITEM-000000009,ORD-000000003,PROD-0000112,2,182.09,50.84,313.34
OITEM-000000010,ORD-000000003,PROD-0000117,1,158.97,27.9,131.07
OITEM-000000011,ORD-000000003,PROD-0000051,2,117.86,47.51,188.21
OITEM-000000012,ORD-000000003,PROD-0000017,1,60.41,12.63,47.78
OITEM-000000013,ORD-000000004,PROD-0000044,2,239.31,117.48,361.14
OITEM-000000014,ORD-000000004,PROD-0000008,1,134.56,19.9,114.66
OITEM-000000015,ORD-000000004,PROD-0000106,1,115.79,4.87,110.92
OITEM-000000016,ORD-000000004,PROD-0000088,1,192.91,44.57,148.34
OITEM-000000017,ORD-000000005,PROD-0000002,2,112.92,51.35,174.49
OITEM-000000018,ORD-000000005,PROD-0000065,2,127.24,34.72,219.76
OITEM-000000019,ORD-000000005,PROD-0000006,1,264.44,25.13,239.31
OITEM-000000020,ORD-000000005,PROD-0000059,2,111.75,9.84,213.66
OITEM-000000021,ORD-000000005,PROD-0000100,2,104.16,58.42,149.9
OITEM-000000022,ORD-000000005,PROD-0000010,2,186.58,68.36,304.8
OITEM-000000023,ORD-000000005,PROD-0000090,1,121.38,7.54,113.84
OITEM-000000024,ORD-000000005,PROD-0000043,2,167.01,9.16,324.86
OITEM-000000025,ORD-000000006,PROD-0000088,2,198.42,136.45,260.39
OITEM-000000026,ORD-000000006,PROD-0000054,1,149.21,3.95,145.26
OITEM-000000027,ORD-000000006,PROD-0000002,1,117.72,11.31,106.41
OITEM-000000028,ORD-000000006,PROD-0000083,2,219.6,56.98,382.22
OITEM-000000029,ORD-000000007,PROD-0000093,1,87.45,22.68,64.77
OITEM-000000030,ORD-000000008,PROD-0000040,2,174.62,86.4,262.84
OITEM-000000031,ORD-000000008,PROD-0000043,2,181.76,23.93,339.59
OITEM-000000032,ORD-000000008,PROD-0000066,1,168.88,0.0,168.88
OITEM-000000033,ORD-000000008,PROD-0000025,1,242.94,0.0,242.94
OITEM-000000034,ORD-000000008,PROD-0000110,1,313.7,9.54,304.16
OITEM-000000035,ORD-000000008,PROD-0000080,1,383.98,0.0,383.98
OITEM-000000036,ORD-000000009,PROD-0000040,1,166.85,35.84,131.01
OITEM-000000037,ORD-000000010,PROD-0000079,2,408.84,20.6,797.08
OITEM-000000038,ORD-000000010,PROD-0000016,1,208.36,34.76,173.6
OITEM-000000039,ORD-000000010,PROD-0000050,2,112.95,46.08,179.82
OITEM-000000040,ORD-000000010,PROD-0000060,1,106.16,25.31,80.85
OITEM-000000041,ORD-000000011,PROD-0000050,1,111.98,20.48,91.5
OITEM-000000042,ORD-000000011,PROD-0000058,2,97.24,8.89,185.59
OITEM-000000043,ORD-000000011,PROD-0000090,2,126.56,6.2,246.92
OITEM-000000044,ORD-000000011,PROD-0000072,2,361.47,0.0,722.94
OITEM-000000045,ORD-000000011,PROD-0000063,2,134.15,25.62,242.68
OITEM-000000046,ORD-000000011,PROD-0000080,2,419.53,0.0,839.06
OITEM-000000047,ORD-000000011,PROD-0000020,2,161.23,99.5,222.96
OITEM-000000048,ORD-000000011,PROD-0000071,2,193.13,76.77,309.49
OITEM-000000049,ORD-000000012,PROD-0000033,2,110.92,27.57,194.27
OITEM-000000050,ORD-000000012,PROD-0000075,1,188.8,0.0,188.8
OITEM-000000051,ORD-000000012,PROD-0000096,1,140.3,46.75,93.55
OITEM-000000052,ORD-000000012,PROD-0000050,1,118.98,21.65,97.33
OITEM-000000053,ORD-000000012,PROD-0000087,1,71.31,8.32,62.99
OITEM-000000054,ORD-000000012,PROD-0000048,1,258.19,34.42,223.77
OITEM-000000055,ORD-000000012,PROD-0000091,2,225.09,0.0,450.18
OITEM-000000056,ORD-000000013,PROD-0000061,1,189.16,0.0,189.16
OITEM-000000057,ORD-000000013,PROD-0000028,1,76.28,10.2,66.08
OITEM-000000058,ORD-000000013,PROD-0000079,1,433.0,52.91,380.09
OITEM-000000059,ORD-000000013,PROD-0000043,2,180.98,0.0,361.96
OITEM-000000060,ORD-000000013,PROD-0000088,2,214.39,133.98,294.8
OITEM-000000061,ORD-000000013,PROD-0000037,1,221.42,0.0,221.42
OITEM-000000062,ORD-000000013,PROD-0000054,1,145.49,8.72,136.77
OITEM-000000063,ORD-000000014,PROD-0000093,1,93.16,2.45,90.71
OITEM-000000064,ORD-000000014,PROD-0000003,2,180.13,83.44,276.82
OITEM-000000065,ORD-000000014,PROD-0000019,2,292.57,0.0,585.14
OITEM-000000066,ORD-000000014,PROD-0000072,2,347.51,20.0,675.02
OITEM-000000067,ORD-000000014,PROD-0000049,1,168.35,32.48,135.87
OITEM-000000068,ORD-000000014,PROD-0000098,1,116.63,35.78,80.85
OITEM-000000069,ORD-000000014,PROD-0000090,1,115.49,0.0,115.49
OITEM-000000070,ORD-000000014,PROD-0000104,2,135.09,15.15,255.03
OITEM-000000071,ORD-000000015,PROD-0000040,2,172.33,32.68,311.98
OITEM-000000072,ORD-000000015,PROD-0000062,2,66.03,0.72,131.34
OITEM-000000073,ORD-000000015,PROD-0000103,1,402.0,0.0,402.0
OITEM-000000074,ORD-000000015,PROD-0000060,2,104.25,0.0,208.5
OITEM-000000075,ORD-000000015,PROD-0000090,1,117.21,6.96,110.25
OITEM-000000076,ORD-000000016,PROD-0000096,1,157.0,25.08,131.92
OITEM-000000077,ORD-000000017,PROD-0000019,1,271.85,0.0,271.85
OITEM-000000078,ORD-000000018,PROD-0000062,1,64.84,0.0,64.84
OITEM-000000079,ORD-000000018,PROD-0000074,1,233.29,14.61,218.68
OITEM-000000080,ORD-000000018,PROD-0000006,1,253.05,12.24,240.81
OITEM-000000081,ORD-000000018,PROD-0000070,2,232.75,34.62,430.88
OITEM-000000082,ORD-000000018,PROD-0000003,2,180.73,48.82,312.64
OITEM-000000083,ORD-000000019,PROD-0000014,2,151.1,20.41,281.79
OITEM-000000084,ORD-000000019,PROD-0000092,1,307.95,7.84,300.11
OITEM-000000085,ORD-000000019,PROD-0000113,2,37.62,9.24,66.0
OITEM-000000086,ORD-000000019,PROD-0000076,2,162.47,19.76,305.18
OITEM-000000087,ORD-000000020,PROD-0000016,1,219.43,60.55,158.88
