interaction_id,customer_id,interaction_date,channel,interaction_type,response_flag,conversion_flag,campaign_id,message_theme
INT-000000001,CUST-0000001,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000002,CUST-0000001,2023-09-15,email,conversion,0,0,CAMP-000006,bundle
INT-000000003,CUST-0000001,2025-01-08,email,retention,0,0,CAMP-000014,discount
INT-000000004,CUST-0000001,2023-01-14,push,reactivation,0,0,CAMP-000019,bundle
INT-000000005,CUST-0000001,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000006,CUST-0000001,2024-04-20,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000007,CUST-0000001,2024-08-08,email,loyalty,1,0,CAMP-000011,early_access
INT-000000008,CUST-0000001,2024-01-29,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000009,CUST-0000002,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000010,CUST-0000002,2023-03-17,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000011,CUST-0000002,2024-09-26,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000012,CUST-0000002,2024-08-07,email,loyalty,0,0,CAMP-000011,early_access
INT-000000013,CUST-0000002,2023-01-12,push,reactivation,0,0,CAMP-000019,bundle
INT-000000014,CUST-0000002,2023-09-14,email,conversion,0,0,CAMP-000006,bundle
INT-000000015,CUST-0000002,2025-01-10,email,retention,0,0,CAMP-000014,discount
INT-000000016,CUST-0000002,2025-10-23,push,cross_sell,1,0,CAMP-000016,early_access
INT-000000017,CUST-0000002,2023-06-02,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000018,CUST-0000002,2024-10-03,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000019,CUST-0000002,2023-09-30,push,upsell,0,0,CAMP-000008,bundle
INT-000000020,CUST-0000002,2025-08-17,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000021,CUST-0000002,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000022,CUST-0000003,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000023,CUST-0000003,2023-06-03,sms,retention,1,0,CAMP-000007,free_shipping
INT-000000024,CUST-0000003,2025-05-28,email,cross_sell,0,0,CAMP-000012,discount
INT-000000025,CUST-0000003,2023-01-12,push,reactivation,0,0,CAMP-000019,bundle
INT-000000026,CUST-0000003,2025-10-05,sms,upsell,1,0,CAMP-000017,discount
INT-000000027,CUST-0000003,2024-01-30,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000028,CUST-0000003,2024-08-10,email,loyalty,0,0,CAMP-000011,early_access
INT-000000029,CUST-0000003,2025-09-04,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000030,CUST-0000003,2024-04-22,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000031,CUST-0000003,2024-01-26,in_app,conversion,1,0,CAMP-000015,discount
INT-000000032,CUST-0000004,2025-10-22,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000033,CUST-0000004,2025-01-10,email,retention,1,0,CAMP-000014,discount
INT-000000034,CUST-0000004,2023-01-15,push,reactivation,0,0,CAMP-000019,bundle
INT-000000035,CUST-0000004,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000036,CUST-0000004,2025-10-04,sms,upsell,1,0,CAMP-000017,discount
INT-000000037,CUST-0000004,2025-08-15,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000038,CUST-0000004,2024-08-10,email,loyalty,0,0,CAMP-000011,early_access
INT-000000039,CUST-0000004,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000040,CUST-0000004,2024-09-30,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000041,CUST-0000004,2024-01-28,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000042,CUST-0000004,2024-09-25,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000043,CUST-0000004,2024-01-28,in_app,conversion,0,0,CAMP-000015,discount
INT-000000044,CUST-0000005,2024-04-20,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000045,CUST-0000005,2023-05-17,email,cross_sell,1,0,CAMP-000003,early_access
INT-000000046,CUST-0000005,2025-08-17,push,cross_sell,0,0,CAMP-000013,cashback
INT-000000047,CUST-0000005,2025-10-06,sms,upsell,0,0,CAMP-000017,discount
INT-000000048,CUST-0000005,2024-05-01,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000049,CUST-0000005,2024-09-24,push,reactivation,1,0,CAMP-000002,exclusive_access
INT-000000050,CUST-0000005,2025-09-06,email,retention,0,0,CAMP-000001,exclusive_access
INT-000000051,CUST-0000005,2025-05-31,email,cross_sell,0,0,CAMP-000012,discount
INT-000000052,CUST-0000005,2023-10-03,push,upsell,0,0,CAMP-000008,bundle
INT-000000053,CUST-0000005,2025-10-21,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000054,CUST-0000005,2023-03-15,sms,loyalty,1,0,CAMP-000009,early_access
INT-000000055,CUST-0000005,2024-08-09,email,loyalty,1,0,CAMP-000011,early_access
INT-000000056,CUST-0000005,2023-09-23,push,upsell,0,0,CAMP-000010,discount
INT-000000057,CUST-0000005,2024-01-29,in_app,conversion,0,0,CAMP-000015,discount
INT-000000058,CUST-0000005,2024-01-28,email,loyalty,1,0,CAMP-000018,exclusive_access
INT-000000059,CUST-0000006,2025-10-04,sms,upsell,0,0,CAMP-000017,discount
INT-000000060,CUST-0000006,2025-10-23,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000061,CUST-0000006,2024-01-27,in_app,conversion,0,0,CAMP-000015,discount
INT-000000062,CUST-0000006,2024-08-10,email,loyalty,0,0,CAMP-000011,early_access
INT-000000063,CUST-0000006,2023-06-03,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000064,CUST-0000006,2024-04-20,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000065,CUST-0000006,2024-09-23,push,reactivation,0,0,CAMP-000002,exclusive_access
INT-000000066,CUST-0000006,2023-05-18,email,cross_sell,0,0,CAMP-000003,early_access
INT-000000067,CUST-0000007,2024-01-29,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000068,CUST-0000007,2025-01-10,email,retention,0,0,CAMP-000014,discount
INT-000000069,CUST-0000007,2025-05-31,email,cross_sell,0,0,CAMP-000012,discount
INT-000000070,CUST-0000007,2024-04-21,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000071,CUST-0000007,2024-01-27,in_app,conversion,0,0,CAMP-000015,discount
INT-000000072,CUST-0000007,2023-03-16,sms,loyalty,0,0,CAMP-000009,early_access
INT-000000073,CUST-0000007,2024-05-04,remarketing,retention,0,0,CAMP-000004,early_access
INT-000000074,CUST-0000007,2025-10-04,sms,upsell,0,0,CAMP-000017,discount
INT-000000075,CUST-0000008,2025-10-20,push,cross_sell,0,0,CAMP-000016,early_access
INT-000000076,CUST-0000008,2025-01-09,email,retention,0,0,CAMP-000014,discount
INT-000000077,CUST-0000008,2024-01-29,email,loyalty,0,0,CAMP-000018,exclusive_access
INT-000000078,CUST-0000008,2024-08-08,email,loyalty,0,0,CAMP-000011,early_access
INT-000000079,CUST-0000008,2023-01-13,push,reactivation,1,0,CAMP-000019,bundle
INT-000000080,CUST-0000008,2023-06-01,sms,retention,0,0,CAMP-000007,free_shipping
INT-000000081,CUST-0000008,2024-10-02,in_app,conversion,0,0,CAMP-000005,exclusive_access
INT-000000082,CUST-0000008,2023-09-25,push,upsell,0,0,CAMP-000010,discount
INT-000000083,CUST-0000008,2024-04-21,sms,loyalty,0,0,CAMP-000020,exclusive_access
INT-000000084,CUST-0000008,2023-09-17,email,conversion,0,0,CAMP-000006,bundle
