order_id,customer_id,order_date,channel,order_status,gross_amount,discount_amount,net_amount,payment_method,shipping_type,shipping_cost,delivery_days,return_flag
ORD-000000001,CUST-0000001,2025-10-11,app,delivered,529.7,74.43,455.27,credit_card,pickup,0.04,0,0
ORD-000000002,CUST-0000002,2023-05-02,ecommerce,delivered,1191.0,130.26,1060.74,pix,pickup,0.5,0,0
ORD-000000003,CUST-0000002,2024-03-04,ecommerce,delivered,1622.31,210.21,1412.1,credit_card,standard,5.08,6,0
ORD-000000004,CUST-0000002,2024-07-27,ecommerce,cancelled,921.88,186.82,735.06,pix,standard,18.32,9,0
ORD-000000005,CUST-0000002,2025-09-23,ecommerce,delivered,2005.14,264.52,1740.62,debit_card,standard,9.99,8,0
ORD-000000006,CUST-0000002,2025-12-08,ecommerce,delivered,1102.97,208.69,894.28,credit_card,pickup,5.13,0,0
ORD-000000007,CUST-0000003,2025-12-24,app,returned,87.45,22.68,64.77,credit_card,pickup,0.0,0,1
ORD-000000008,CUST-0000004,2024-02-05,ecommerce,delivered,1822.26,119.87,1702.39,credit_card,express,25.92,0,0
ORD-000000009,CUST-0000004,2024-04-12,ecommerce,returned,166.85,35.84,131.01,credit_card,standard,10.37,5,1
ORD-000000010,CUST-0000004,2024-05-11,store,returned,1358.1,126.75,1231.35,credit_card,pickup,0.0,0,1
ORD-000000011,CUST-0000004,2024-07-02,store,returned,3098.6,237.46,2861.14,installments,pickup,0.0,0,1
ORD-000000012,CUST-0000004,2025-02-04,ecommerce,delivered,1449.6,138.71,1310.89,pix,pickup,0.97,0,0
ORD-000000013,CUST-0000004,2025-04-30,store,delivered,1856.09,205.81,1650.28,credit_card,pickup,0.0,0,0
ORD-000000014,CUST-0000004,2025-11-30,ecommerce,returned,2404.23,189.3,2214.93,credit_card,standard,14.72,5,1
ORD-000000015,CUST-0000005,2024-01-27,ecommerce,delivered,1204.43,40.36,1164.07,installments,standard,22.42,6,0
ORD-000000016,CUST-0000005,2024-02-21,ecommerce,returned,157.0,25.08,131.92,debit_card,standard,13.47,4,1
ORD-000000017,CUST-0000005,2024-05-12,app,delivered,271.85,0.0,271.85,pix,standard,12.14,9,0
ORD-000000018,CUST-0000005,2025-06-01,ecommerce,delivered,1378.14,110.29,1267.85,credit_card,standard,10.04,7,0
ORD-000000019,CUST-0000005,2025-12-18,ecommerce,delivered,1010.33,57.25,953.08,credit_card,express,19.16,5,0
ORD-000000020,CUST-0000006,2025-06-21,app,delivered,219.43,60.55,158.88,credit_card,standard,6.45,7,0
ORD-000000021,CUST-0000007,2025-04-05,store,delivered,955.41,102.32,853.09,credit_card,pickup,0.0,0,0
ORD-000000022,CUST-0000007,2025-11-30,app,returned,935.72,273.87,661.85,credit_card,standard,10.87,6,1
ORD-000000023,CUST-0000008,2023-03-30,store,delivered,688.47,135.92,552.55,credit_card,pickup,0.0,0,0
ORD-000000024,CUST-0000008,2024-12-23,app,delivered,2199.23,449.2,1750.03,credit_card,standard,14.78,7,0
ORD-000000025,CUST-0000008,2025-11-14,ecommerce,delivered,1599.93,431.98,1167.95,credit_card,express,16.47,4,0
ORD-000000026,CUST-0000009,2023-03-31,store,delivered,47.11,2.22,44.89,installments,pickup,0.0,0,0
ORD-000000027,CUST-0000009,2023-04-22,store,delivered,1892.27,142.21,1750.06,credit_card,pickup,0.0,0,0
ORD-000000028,CUST-0000009,2023-10-13,store,cancelled,409.34,34.51,374.83,pix,pickup,0.0,0,0
ORD-000000029,CUST-0000009,2024-06-04,store,delivered,1061.14,53.27,1007.87,pix,pickup,0.0,0,0
ORD-000000030,CUST-0000009,2024-08-09,ecommerce,delivered,872.92,98.97,773.95,pix,standard,5.82,3,0
ORD-000000031,CUST-0000009,2024-12-16,store,delivered,764.73,67.21,697.52,credit_card,pickup,0.0,0,0
ORD-000000032,CUST-0000009,2025-03-02,store,delivered,201.38,6.07,195.31,credit_card,pickup,0.0,0,0
ORD-000000033,CUST-0000009,2025-09-27,store,delivered,474.02,26.5,447.52,credit_card,pickup,0.0,0,0
ORD-000000034,CUST-0000009,2025-11-16,store,delivered,310.77,20.04,290.73,credit_card,pickup,0.0,0,0
ORD-000000035,CUST-0000010,2023-01-31,store,cancelled,1261.23,109.87,1151.36,credit_card,pickup,0.0,0,0
ORD-000000036,CUST-0000010,2023-04-10,store,delivered,1868.59,320.82,1547.77,credit_card,pickup,0.0,0,0
ORD-000000037,CUST-0000010,2023-11-06,store,delivered,1101.09,107.87,993.22,pix,pickup,0.0,0,0
ORD-000000038,CUST-0000010,2024-01-16,store,delivered,2443.56,441.69,2001.87,credit_card,pickup,0.0,0,0
ORD-000000039,CUST-0000010,2024-12-16,store,delivered,2367.27,364.26,2003.01,credit_card,pickup,0.0,0,0
ORD-000000040,CUST-0000010,2025-01-01,store,delivered,1444.12,281.54,1162.58,credit_card,pickup,0.0,0,0
ORD-000000041,CUST-0000010,2025-11-27,store,delivered,1649.93,56.52,1593.41,credit_card,pickup,0.0,0,0
ORD-000000042,CUST-0000011,2023-08-19,app,delivered,1540.64,167.21,1373.43,installments,standard,5.25,7,0
ORD-000000043,CUST-0000011,2025-11-01,store,delivered,1057.98,225.94,832.04,credit_card,pickup,0.0,0,0
ORD-000000044,CUST-0000012,2025-11-09,app,delivered,334.28,0.0,334.28,credit_card,standard,9.76,8,0
ORD-000000045,CUST-0000013,2023-02-10,store,delivered,299.63,45.14,254.49,credit_card,pickup,0.0,0,0
ORD-000000046,CUST-0000013,2023-05-29,ecommerce,delivered,1231.47,174.61,1056.86,installments,standard,16.27,12,0
ORD-000000047,CUST-0000013,2023-06-01,store,returned,770.85,170.74,600.11,credit_card,pickup,0.0,0,1
ORD-000000048,CUST-0000013,2024-05-01,app,cancelled,1359.75,121.68,1238.07,installments,pickup,9.37,0,0
ORD-000000049,CUST-0000013,2025-03-25,ecommerce,delivered,1869.83,201.39,1668.44,credit_card,standard,7.63,3,0
ORD-000000050,CUST-0000013,2025-12-18,ecommerce,delivered,978.57,57.01,921.56,pix,standard,6.95,2,0
ORD-000000051,CUST-0000014,2025-11-20,ecommerce,delivered,329.37,60.06,269.31,credit_card,express,20.35,3,0
ORD-000000052,CUST-0000015,2023-05-16,ecommerce,delivered,877.53,180.31,697.22,credit_card,pickup,0.0,1,0
ORD-000000053,CUST-0000015,2023-06-02,app,delivered,1215.62,362.82,852.8,debit_card,standard,11.77,4,0
ORD-000000054,CUST-0000015,2023-06-29,app,returned,2417.12,411.49,2005.63,credit_card,standard,11.88,5,1
ORD-000000055,CUST-0000015,2023-10-01,ecommerce,delivered,777.23,122.68,654.55,credit_card,pickup,2.86,0,0
ORD-000000056,CUST-0000015,2023-12-16,ecommerce,delivered,2275.48,385.33,1890.15,credit_card,pickup,0.0,0,0
ORD-000000057,CUST-0000015,2025-11-07,ecommerce,delivered,1825.84,345.06,1480.78,installments,standard,20.39,7,0
ORD-000000058,CUST-0000016,2024-03-20,ecommerce,delivered,1080.11,103.14,976.97,credit_card,standard,26.8,4,0
ORD-000000059,CUST-0000016,2024-04-25,app,delivered,1698.86,133.22,1565.64,wallet,standard,16.49,7,0
ORD-000000060,CUST-0000016,2024-06-18,ecommerce,delivered,345.24,75.65,269.59,credit_card,pickup,0.0,0,0
ORD-000000061,CUST-0000016,2024-12-29,ecommerce,delivered,201.02,17.0,184.02,debit_card,standard,10.86,2,0
ORD-000000062,CUST-0000016,2025-10-20,ecommerce,delivered,1904.22,81.67,1822.55,pix,pickup,0.0,0,0
ORD-000000063,CUST-0000016,2025-12-17,app,returned,1483.73,97.04,1386.69,credit_card,pickup,10.41,2,1
ORD-000000064,CUST-0000017,2023-10-30,ecommerce,delivered,1297.92,178.45,1119.47,installments,pickup,3.89,0,0
ORD-000000065,CUST-0000017,2025-07-31,ecommerce,delivered,1213.58,255.19,958.39,installments,express,16.57,2,0
ORD-000000066,CUST-0000017,2025-09-01,ecommerce,cancelled,1446.41,316.11,1130.3,credit_card,standard,1.91,5,0
ORD-000000067,CUST-0000017,2025-11-07,ecommerce,returned,2485.59,355.56,2130.03,debit_card,standard,5.95,7,1
ORD-000000068,CUST-0000018,2024-04-03,ecommerce,delivered,212.43,36.71,175.72,debit_card,standard,4.48,7,0
ORD-000000069,CUST-0000018,2024-06-24,store,delivered,985.07,49.54,935.53,credit_card,pickup,0.0,0,0
ORD-000000070,CUST-0000018,2025-09-25,store,delivered,905.16,101.37,803.79,debit_card,pickup,0.0,0,0
ORD-000000071,CUST-0000019,2025-11-02,ecommerce,delivered,1770.73,269.1,1501.63,credit_card,standard,9.68,7,0
ORD-000000072,CUST-0000020,2023-09-22,store,delivered,1436.58,284.19,1152.39,debit_card,pickup,0.0,0,0
ORD-000000073,CUST-0000020,2025-03-15,app,delivered,2112.04,329.93,1782.11,credit_card,standard,10.91,7,0
ORD-000000074,CUST-0000020,2025-12-24,app,delivered,755.55,219.54,536.01,credit_card,standard,9.52,5,0
